排名,学校名称,省市,总分,生源质量（新生高考成绩得分）,培养结果（毕业生就业率）,社会声誉（社会捐赠收入·千元）,科研规模（论文数量·篇）,科研质量（论文质量·FWCI）,顶尖成果（高被引论文·篇）,顶尖人才（高被引学者·人）,科技服务（企业科研经费·千元）,成果转化（技术转让收入·千元）,学生国际化（留学生比例）
525,青海师范大学,青海,21.3,21.5,91.29%,0,348,0.864,8,0,0,0,0
526,合肥师范学院,安徽,21.2,26.3,94.33%,0,492,0.580,0,0,7830,0,0
526,吉林化工学院,吉林,21.2,33.1,,0,386,0.635,1,0,4423,0,0
526,兰州城市学院,甘肃,21.2,28.1,,0,153,0.873,1,0,0,0,0
526,绵阳师范学院,四川,21.2,28.7,89.71%,0,395,0.534,1,0,1642,0,0.22%
526,韶关学院,广东,21.2,23.3,96.42%,0,266,0.703,0,0,2607,0,0.01%
526,咸阳师范学院,陕西,21.2,31.0,87.50%,0,288,0.481,1,0,0,0,0.03%
532,河南科技学院,河南,21.1,32.7,,0,1205,0.602,5,0,5901,4800,0
532,新乡学院,河南,21.1,29.7,92.12%,0,494,0.450,4,0,0,0,0
534,西北民族大学,甘肃,21.0,27.0,87.31%,0,474,0.634,3,0,2479,0,0
535,黑龙江八一农垦大学,黑龙江,20.9,28.5,80.56%,0,876,0.628,2,0,6878,0,0
535,内蒙古民族大学,内蒙古,20.9,16.2,90.20%,627,680,0.959,10,0,0,30,1.96%
537,邯郸学院,河北,20.8,30.7,88.77%,0,201,0.410,0,0,717,0,0
537,宜宾学院,四川,20.8,22.7,92.80%,352,437,0.712,4,0,3146,0,0
539,北方民族大学,宁夏,20.7,28.6,,7484,180,0.769,2,0,1358,0,0
539,贵阳中医学院,贵州,20.7,28.1,93.06%,0,169,0.443,0,0,5800,50,0
539,黄淮学院,河南,20.7,26.0,96.00%,0,215,0.499,1,0,0,0,0
542,贺州学院,广西,20.6,25.6,92.59%,0,130,0.560,0,0,993,0,0.11%
542,红河学院,云南,20.6,22.4,98.46%,0,353,0.576,4,0,475,0,0.54%
542,辽东学院,辽宁,20.6,25.6,96.57%,0,156,0.490,0,0,5693,0,0.03%
542,内蒙古农业大学,内蒙古,20.6,24.4,84.34%,0,1159,0.678,11,0,0,0,0.43%
542,齐鲁师范学院,山东,20.6,18.1,,0,140,1.240,3,0,0,0,0
542,渭南师范学院,陕西,20.6,29.3,89.60%,0,199,0.435,1,0,40,0,0
548,长春工程学院,吉林,20.5,30.5,86.87%,418,224,0.402,1,0,1911,6,0
548,内蒙古科技大学,内蒙古,20.5,29.3,81.41%,0,1303,0.497,3,0,13128,0,0.05%
548,周口师范学院,河南,20.5,25.6,94.64%,0,512,0.502,2,0,0,0,0
551,牡丹江师范学院,黑龙江,20.4,29.6,85.04%,256,178,0.448,0,0,446,0,0.21%
551,四川文理学院,四川,20.4,23.0,95.08%,0,124,0.598,1,0,0,0,0.19%
553,南阳理工学院,河南,20.3,29.9,87.10%,0,306,0.389,1,0,0,10,0.26%
553,内蒙古师范大学,内蒙古,20.3,27.6,85.98%,2780,477,0.479,0,0,3779,0,0.70%
553,山东交通学院,山东,20.3,21.7,92.53%,0,324,0.670,2,0,11120,0,0.18%
553,泰山学院,山东,20.3,16.7,92.29%,0,352,0.917,4,0,1070,1070,0
557,滨州学院,山东,20.1,16.7,95.93%,0,445,0.825,5,0,453,0,0
557,黄山学院,安徽,20.1,20.9,95.22%,0,172,0.658,2,0,646,50,0.07%
557,嘉应学院,广东,20.1,23.0,94.40%,0,221,0.553,1,1,2120,0,0.01%
557,衢州学院,浙江,20.1,23.3,97.07%,0,177,0.520,1,0,1188,0,0
561,池州学院,安徽,20.0,16.3,93.25%,0,113,0.890,3,0,240,0,0
562,华北科技学院,河北,19.9,33.0,,0,257,0.428,0,0,13615,0,0.35%
562,新疆农业大学,新疆,19.9,21.9,89.17%,1223,513,0.637,4,0,27425,0,0.39%
564,河西学院,甘肃,19.8,26.4,,0,302,0.739,2,0,1093,0,0
564,湖南工学院,湖南,19.8,25.0,94.80%,123,319,0.416,0,0,732,0,0
566,楚雄师范学院,云南,19.7,22.1,98.80%,0,133,0.483,0,0,0,0,0.20%
566,铜陵学院,安徽,19.7,24.7,93.15%,0,164,0.456,0,0,358,0,0
566,榆林学院,陕西,19.7,26.8,91.91%,1263,131,0.386,0,0,550,0,0
566,玉溪师范学院,云南,19.7,25.9,,0,185,0.734,2,0,0,0,0.04%
570,河南城建学院,河南,19.6,28.7,,0,480,0.590,2,0,330,0,0
570,天水师范学院,甘肃,19.6,27.9,,0,273,0.628,4,0,0,0,0
572,商洛学院,陕西,19.5,26.0,91.59%,0,153,0.390,0,0,0,0,0
572,邵阳学院,湖南,19.5,22.5,95.62%,0,247,0.489,0,0,289,0,0
574,贵阳学院,贵州,19.4,20.8,93.26%,0,121,0.590,1,0,50,10,0
574,湖南科技学院,湖南,19.4,23.9,93.30%,65,204,0.435,2,0,154,0,0
574,浙江万里学院,浙江,19.4,15.7,96.03%,1305,454,0.764,5,0,1971,0,0.21%
577,皖西学院,安徽,19.3,18.1,96.29%,0,239,0.647,2,0,0,0,0
578,安阳工学院,河南,19.2,30.6,,0,219,0.448,0,0,400,0,0
578,宜春学院,江西,19.2,19.3,84.64%,0,254,0.691,0,0,923,500,1.41%
580,怀化学院,湖南,19.1,21.5,93.14%,0,324,0.503,0,0,163,0,0
581,九江学院,江西,18.8,22.6,,0,559,0.656,6,0,1456,0,1.66%
582,重庆三峡学院,重庆,18.7,26.3,,0,517,0.557,1,0,1169,0,0
582,济宁学院,山东,18.7,13.7,89.30%,0,307,0.860,4,0,0,0,0
584,攀枝花学院,四川,18.6,21.3,95.24%,0,245,0.400,0,0,0,0,0.05%
585,滁州学院,安徽,18.5,17.3,96.00%,0,385,0.551,2,0,6649,100,0
585,桂林航天工业学院,广西,18.5,28.5,,0,127,0.370,0,0,78,0,1.35%
587,潍坊学院,山东,18.4,19.6,92.41%,0,654,0.485,6,0,0,0,0.02%
588,安徽科技学院,安徽,18.1,16.5,91.20%,0,127,0.609,1,0,4003,820,0
588,伊犁师范学院,新疆,18.1,19.3,86.00%,0,144,0.571,0,0,0,0,0.05%
590,蚌埠学院,安徽,18.0,16.6,92.86%,0,108,0.566,0,0,160,300,0
590,平顶山学院,河南,18.0,26.7,,0,222,0.451,1,0,330,0,0
592,成都工业学院,四川,17.8,25.0,,0,125,0.500,0,0,5923,0,0
593,淮南师范学院,安徽,17.7,16.3,92.44%,0,425,0.537,2,0,1020,0,0
594,陇东学院,甘肃,17.5,24.5,,0,120,0.464,0,0,358,2000,0
595,德州学院,山东,17.4,13.7,96.76%,0,611,0.543,3,0,80,37,0
596,赤峰学院,内蒙古,17.0,13.0,89.14%,0,146,0.568,1,0,0,0,1.49%
596,塔里木大学,新疆,17.0,19.6,70.70%,0,284,0.612,1,0,4600,0,0
598,巢湖学院,安徽,16.7,15.7,94.53%,0,130,0.393,1,0,0,0,0.02%
599,铜仁学院,贵州,16.6,11.6,96.85%,0,120,0.511,0,0,267,0,0.24%
600,西藏大学,西藏,16.4,14.1,,0,457,0.770,4,0,450,0,0
600,枣庄学院,山东,16.4,11.8,93.53%,0,286,0.533,1,0,447,0,0.12%
