排名,学校名称,省市,总分,生源质量（新生高考成绩得分）,培养结果（毕业生就业率）,社会声誉（社会捐赠收入·千元）,科研规模（论文数量·篇）,科研质量（论文质量·FWCI）,顶尖成果（高被引论文·篇）,顶尖人才（高被引学者·人）,科技服务（企业科研经费·千元）,成果转化（技术转让收入·千元）,学生国际化（留学生比例）
323,华东交通大学,江西,26.2,42.8,89.68%,0,1492,0.598,11,0,33401,3200,0
323,江苏理工学院,江苏,26.2,42.3,90.80%,32965,500,0.640,5,0,20037,525,0
323,沈阳师范大学,辽宁,26.2,37.1,95.88%,90,685,0.787,9,0,0,9,0.64%
323,西安工业大学,陕西,26.2,40.3,92.44%,0,1090,0.580,6,0,57971,66214,0
329,北京印刷学院,北京,26.1,40.7,97.20%,0,278,0.625,5,0,6499,172,0.01%
329,淮阴师范学院,江苏,26.1,39.0,,0,885,1.084,26,0,2220,61,0
329,内蒙古医科大学,内蒙古,26.1,41.0,88.30%,0,183,0.723,0,0,10,0,0.67%
329,玉林师范学院,广西,26.1,35.5,94.04%,0,281,0.904,3,0,370,0,0.33%
333,大连工业大学,辽宁,26.0,38.5,94.52%,0,1014,0.707,6,0,15592,1752,0.28%
333,河北地质大学,河北,26.0,41.7,95.02%,0,373,0.590,4,0,8578,0,0
333,湖北工程学院,湖北,26.0,34.7,91.46%,427,291,0.976,7,0,2264,0,0.01%
333,沈阳工业大学,辽宁,26.0,42.6,95.23%,0,1956,0.421,3,0,131698,470,0.61%
337,贵州医科大学,贵州,25.9,38.4,91.15%,0,797,0.764,5,0,660,0,0.37%
337,厦门理工学院,福建,25.9,36.7,97.99%,36619,819,0.688,10,0,20238,13,0.66%
337,云南中医学院,云南,25.9,38.5,97.96%,0,251,0.680,1,0,1431,0,0.39%
340,承德医学院,河北,25.8,44.5,89.99%,0,232,0.392,1,0,105,0,2.51%
340,广东海洋大学,广东,25.8,35.4,98.17%,0,909,0.774,8,0,43404,1220,0.01%
340,太原科技大学,山西,25.8,42.3,90.40%,0,1501,0.558,11,0,12519,12,0
340,天津商业大学,天津,25.8,42.4,85.03%,0,541,0.689,2,0,2452,105,0.01%
340,徐州工程学院,江苏,25.8,37.7,98.88%,823,403,0.686,6,0,2776,50,0.02%
340,盐城师范学院,江苏,25.8,37.8,98.13%,1572,549,0.689,2,0,5399,70,0
346,长春大学,吉林,25.7,41.0,92.20%,0,489,0.602,2,0,752,342,0.40%
346,金陵科技学院,江苏,25.7,43.8,97.20%,80,211,0.419,1,0,16471,72,0
348,湖北汽车工业学院,湖北,25.6,35.2,95.12%,118,207,0.841,4,0,9085,10,0
348,南京晓庄学院,江苏,25.6,44.4,,0,337,0.771,4,0,140,0,0.53%
348,西安科技大学,陕西,25.6,42.6,92.61%,1810,1450,0.460,6,0,81178,0,0
348,郑州师范学院,河南,25.6,34.4,,0,145,1.265,4,0,185,0,0
352,广东技术师范学院,广东,25.5,35.2,96.03%,0,337,0.756,6,0,2326,277,1.02%
352,哈尔滨商业大学,黑龙江,25.5,44.4,92.37%,134,643,0.442,1,0,0,0,0
352,海南师范大学,海南,25.5,32.2,93.27%,0,662,0.950,9,0,6045,0,0.42%
352,湖南商学院,湖南,25.5,41.7,92.16%,22,207,0.579,2,0,39,0,0.02%
352,山西大同大学,山西,25.5,39.8,85.72%,0,598,0.742,3,0,1918,0,0
352,沈阳农业大学,辽宁,25.5,45.9,,6043,1543,0.632,5,0,32240,202,0.18%
358,安阳师范学院,河南,25.4,29.6,94.10%,0,1028,1.038,23,0,300,0,0
358,嘉兴学院,浙江,25.4,34.1,95.63%,817,1093,0.819,12,0,5240,50,0.01%
358,齐齐哈尔医学院,黑龙江,25.4,34.7,90.93%,232,258,0.858,1,0,0,0,0.80%
358,山东中医药大学,山东,25.4,34.1,96.66%,0,844,0.791,9,0,0,0,0.55%
358,太原师范学院,山西,25.4,42.8,86.71%,0,214,0.599,0,0,90,0,0
358,潍坊医学院,山东,25.4,37.4,87.91%,0,811,0.638,4,0,55,0,3.40%
364,安徽建筑大学,安徽,25.3,38.9,91.95%,0,783,0.645,8,0,12015,0,0
364,滨州医学院,山东,25.3,34.1,95.73%,0,671,0.792,2,0,600,0,0.65%
364,川北医学院,四川,25.3,38.5,94.56%,0,638,0.568,1,0,0,0,1.56%
364,广东金融学院,广东,25.3,39.3,97.25%,0,305,0.580,0,0,0,0,0.02%
364,淮北师范大学,安徽,25.3,27.9,90.25%,0,926,1.161,29,0,1103,328,0
364,吉首大学,湖南,25.3,36.0,93.90%,967,725,0.765,6,0,4453,60,0
364,南昌航空大学,江西,25.3,36.5,86.25%,0,2126,0.741,22,0,47844,299,0.71%
364,西安医学院,陕西,25.3,39.3,90.74%,0,420,0.670,4,0,295,200,0
364,郑州轻工业学院,河南,25.3,35.9,95.14%,0,1515,0.699,16,0,15844,5310,0
373,长沙学院,湖南,25.2,33.1,94.28%,0,382,0.879,8,0,0,55,0.01%
373,大连海洋大学,辽宁,25.2,34.9,94.35%,414,810,0.762,11,0,7446,0,0.27%
373,辽宁工程技术大学,辽宁,25.2,43.4,93.91%,150,1788,0.351,4,0,31689,0,0.25%
373,山西农业大学,山西,25.2,39.1,91.20%,0,840,0.648,1,0,9126,240,0
377,湖南第一师范学院,湖南,25.1,39.3,92.79%,0,185,0.620,0,0,0,0,0
377,吉林农业大学,吉林,25.1,34.3,93.04%,0,1587,0.773,11,0,21395,250,0.22%
377,济宁医学院,山东,25.1,27.9,96.14%,0,187,1.050,6,0,0,0,0.71%
377,西华大学,四川,25.1,39.5,92.77%,0,1284,0.550,14,0,23460,0,0
381,北京农学院,北京,25.0,35.2,97.54%,0,521,0.700,2,0,14444,160,0
381,佛山科学技术学院,广东,25.0,33.6,99.61%,0,348,0.735,4,0,36001,300,0
381,淮海工学院,江苏,25.0,37.0,97.93%,36,955,0.604,4,0,4037,109,0.01%
381,江苏第二师范学院,江苏,25.0,42.4,99.00%,0,103,0.365,1,0,303,0,0
385,西安石油大学,陕西,24.9,40.4,90.36%,421,1279,0.360,2,0,96609,45697,1.27%
386,海南医学院,海南,24.8,33.0,90.60%,0,772,0.678,2,0,1000,0,3.76%
386,河北科技师范学院,河北,24.8,38.8,90.42%,0,659,0.610,3,0,168,0,0
386,湖北民族学院,湖北,24.8,32.7,92.90%,0,546,0.830,3,1,3829,0,0.32%
386,陕西中医药大学,陕西,24.8,37.1,92.71%,0,246,0.650,0,0,2001,0,0.47%
386,石河子大学,新疆,24.8,40.6,,2424,2291,0.726,10,0,0,0,1.03%
391,北华大学,吉林,24.7,39.5,80.67%,1519,782,0.602,1,0,385,0,2.37%
391,长治医学院,山西,24.7,41.2,79.40%,0,183,0.670,1,0,0,0,0
391,牡丹江医学院,黑龙江,24.7,36.0,91.34%,0,364,0.727,0,0,0,0,0
391,浙江外国语学院,浙江,24.7,39.9,,0,105,0.870,0,0,0,0,0.04%
395,安徽工程大学,安徽,24.6,33.3,95.07%,9839,736,0.750,9,0,7256,466,0
395,湖南理工学院,湖南,24.6,32.5,97.96%,7564,453,0.753,3,0,3944,2050,0
397,西安工程大学,陕西,24.5,39.7,90.21%,0,1506,0.465,6,0,67844,4500,0.02%
398,北京石油化工学院,北京,24.4,34.5,98.86%,0,703,0.592,5,0,25537,0,0.27%
398,河南中医药大学,河南,24.4,45.6,,0,177,0.518,0,0,2306,210,0.77%
398,江西理工大学,江西,24.4,33.8,94.97%,0,1305,0.665,11,0,38000,765,0.01%
